Keys,en,en_CA,ar,cmn,cs,de,es,fi,fr,hi,it,ja,ko,pl,pt,ru,uk
DIALOG024,Just let the bots know what you're wanting to trade and we'll get it taken care of.,Just let the bots know what you're wanting to trade and we'll get it taken care of. eh?,فقط دع الروبوتات تعرف ما تريد التداول وسنلقي به.,只需让机器人知道您要交易的东西，我们就会照顾它。,"Jen dejte robotům vědět, co chcete obchodovat, a my to postaráme.","Lassen Sie die Bots nur wissen, was Sie handeln möchten, und wir werden es uns kümmern.",Solo deje que los bots sepan lo que quiere comerciar y lo cuidaremos.,"Kerro vain roboteille, mitä haluat käydä kauppaa, ja saamme sen huolehtimaan.",Faites simplement savoir aux bots ce que vous voulez échanger et nous le verrons.,बस बॉट्स को बताएं कि आप क्या व्यापार करना चाहते हैं और हम इसका ध्यान रखेंगे।,Fai sapere ai robot cosa vuoi fare trading e lo faremo cura.,あなたが取引したいものをボットに知らせるだけで、私たちはそれを世話します。,봇에게 당신이 거래하고 싶은 것을 알려 주면 우리는 그것을 돌볼 것입니다.,"Po prostu poinformuj boty, co chcesz wymienić, a my zajmiemy się tym.",Basta informar os bots do que você deseja negociar e vamos cuidar.,"Просто сообщите ботам, что вы хотите обменять, и мы позаботимся об этом.","Просто дайте ботам, що ви хочете торгувати, і ми будемо подбати про це."
DIALOG031,Welcome to Europa,Welcome to Europa eh?,مرحبا بكم في أوروبا,欢迎来到欧罗巴,Vítejte na Evropě,Willkommen in Europa,Bienvenido a Europa,Tervetuloa Europa,Bienvenue à Europa,यूरोपा में आपका स्वागत है,Benvenuti in Europa,Europaへようこそ,Europa에 오신 것을 환영합니다,Witamy w Europa,Bem -vindo ao Europa,Добро пожаловать в Европу,Ласкаво просимо до Європи
DIALOG032,"We've got water, but not much else.","We've got water, but not much else. eh?",لدينا الماء ، ولكن ليس الكثير.,我们有水，但没有其他水。,"Máme vodu, ale ne nic jiného.","Wir haben Wasser, aber nicht viel anderes.","Tenemos agua, pero no mucho más.","Meillä on vettä, mutta ei paljon muuta.","Nous avons de l'eau, mais pas grand-chose d'autre.","हमें पानी मिला है, लेकिन ज्यादा नहीं।","Abbiamo acqua, ma non molto altro.",私たちは水を持っていますが、他にはあまりありません。,우리는 물이 있지만 그다지 많지는 않습니다.,"Mamy wodę, ale niewiele więcej.","Temos água, mas não muito mais.","У нас есть вода, но больше не так много.","У нас є вода, але не багато іншого."
DIALOG033,You're welcome to stay in the barn.,,,,,,,,,,,,,,,,
DIALOG034,But stay away from my three beautiful robot daughters.,But stay away from my three beautiful robot daughters. eh?,لكن ابتعد عن بناتي الثلاث الروبوتات الثلاثة.,但是远离我的三个美丽的机器人女儿。,Ale drž se dál od mých tří krásných dcer robotů.,Aber bleiben Sie von meinen drei schönen Robotertöchtern fern.,Pero mantente alejado de mis tres hermosas hijas robot.,Mutta pysy poissa kolmesta kauniista robottityttärestäni.,Mais éloignez-vous de mes trois belles filles de robot.,लेकिन मेरी तीन खूबसूरत रोबोट बेटियों से दूर रहें।,Ma stai lontano dalle mie tre bellissime figlie robot.,しかし、私の3人の美しいロボットの娘から離れてください。,그러나 나의 아름다운 로봇 딸들에게서 멀리 떨어져 있으십시오.,Ale trzymaj się z dala od moich trzech pięknych córek robotów.,Mas fique longe das minhas três lindas filhas de robô.,Но держитесь подальше от моих трех красивых дочерей робота.,Але тримайтеся подалі від моїх трьох прекрасних дочок роботів.
DIALOG035,Crushinator is already married.,Crushinator is already married. eh?,CrushInator متزوج بالفعل.,Crushinator已经结婚了。,Crushtinator je již ženatý.,Crushinator ist bereits verheiratet.,Crushinator ya está casado.,Crushinator on jo naimisissa.,Crushinator est déjà marié.,क्रशिनर पहले से ही शादीशुदा है।,Il schiacciamento è già sposato.,破壊者はすでに結婚しています。,분쇄기는 이미 결혼했습니다.,Crushinator jest już żonaty.,Crushinator já é casado.,Crushinator уже женат.,Crushinator вже одружений.
DIALOG036,Y'all take care now.,Y'all take care now. eh?,كلهم اعتنوا الآن.,你们现在都要注意。,Teď se postarejte.,Sie kümmern sich jetzt alle auf.,Todos se cuidan ahora.,Sinä huolehdi nyt.,Vous prenez tous soin maintenant.,अब ध्यान रखना।,Adesso tutti voi.,Y'allは今気をつけてください。,지금 조심하세요.,Teraz uważajcie.,Vocês tome cuidado agora.,Вы все позаботитесь сейчас.,Ви зараз дбаєте.
DIALOG041,Welcome to the outer reaches of Humanity.,Welcome to the outer reaches of Humanity. eh?,مرحبًا بك في الوصول الخارجي للإنسانية.,欢迎来到人类的外界。,Vítejte ve vnějším dosahu lidstva.,Willkommen zu den äußeren Gebieten der Menschheit.,Bienvenido a los tramos exteriores de la humanidad.,Tervetuloa ihmiskunnan ulkopuolisiin ulottuvuuksiin.,Bienvenue dans les parties extérieures de l'humanité.,मानवता की बाहरी पहुंच में आपका स्वागत है।,Benvenuti ai raggi esterni dell'umanità.,人類の外側へようこそ。,인류의 외부 도달에 오신 것을 환영합니다.,Witamy w zewnętrznych zasięgach ludzkości.,Bem -vindo aos alcances externos da humanidade.,Добро пожаловать на внешние границы человечества.,Ласкаво просимо до зовнішніх досягнень людства.
DIALOG042,"From here, you're going it alone.","From here, you're going it alone. eh?",من هنا ، أنت ذاهب بمفردك.,从这里，您一个人要去。,Odtud to jdeš sám.,Von hier aus gehst du alleine.,"Desde aquí, lo vas solo.",Täältä olet menossa yksin.,"De là, vous y allez seul.","यहाँ से, आप इसे अकेले जा रहे हैं।","Da qui, lo stai andando da solo.",ここから、あなたはそれを一人で行っています。,여기에서 당신은 혼자 가고 있습니다.,Stąd idziesz sam.,"A partir daqui, você está indo sozinho.",Отсюда вы идете в одиночку.,Звідси ви їдете наодинці.
DIALOG043,"Good luck, we'll be listening for your arrival message.","Good luck, we'll be listening for your arrival message. eh?",حظا سعيدا ، سنستمع لرسالة وصولك.,祝您好运，我们会听您的到达消息。,"Hodně štěstí, budeme poslouchat vaši zprávu o příjezdu.","Viel Glück, wir werden auf Ihre Ankunftsnachricht hören.","Buena suerte, escucharemos su mensaje de llegada.","Onnea, kuuntelemme saapumisviestiäsi.","Bonne chance, nous écouterons votre message d'arrivée.","सौभाग्य, हम आपके आगमन संदेश के लिए सुनेंगे।","Buona fortuna, ascolteremo il tuo messaggio di arrivo.",頑張ってください、私たちはあなたの到着メッセージを聞いています。,"행운을 빕니다, 우리는 당신의 도착 메시지를들을 것입니다.","Powodzenia, będziemy słuchać Twojej wiadomości o przybyciu.","Boa sorte, estaremos ouvindo sua mensagem de chegada.","Удачи, мы будем прислушиваться к вашему сообщению о прибытии.","Удачі, ми будемо слухати ваше повідомлення про приїзд."
DIALOG051,We made it to Wolf 1601c!,We made it to Wolf 1601c! eh?,لقد وصلنا إلى الذئب 1601C!,我们到达了Wolf 1601c！,Dostali jsme se na Wolf 1601C!,Wir haben es zu Wolf 1601c geschafft!,¡Llegamos a Wolf 1601c!,Teimme sen susi 1601c!,Nous sommes arrivés à Wolf 1601C!,हमने इसे वुल्फ 1601C के लिए बनाया है!,Siamo arrivati ​​a Wolf 1601C!,ウルフ1601cに到着しました！,우리는 그것을 Wolf 1601C에 만들었습니다!,Dotarliśmy do Wolfa 1601C!,Chegamos ao Wolf 1601C!,Мы добрались до Wolf 1601c!,Ми доїхали до Wolf 1601C!
DIALOG052,The bots have identified a nice place to land and start our colony.,The bots have identified a nice place to land and start our colony. eh?,حددت الروبوتات مكانًا لطيفًا للهبوط وبدء مستعمرةنا.,机器人已经确定了一个好地方，可以开始我们的殖民地。,Boti identifikovali pěkné místo pro přistání a založení naší kolonie.,Die Bots haben einen schönen Ort zum Lande und Beginn unserer Kolonie identifiziert.,Los bots han identificado un buen lugar para aterrizar y comenzar nuestra colonia.,Robotit ovat tunnistaneet mukavan paikan laskeutua ja aloittamaan siirtokunnamme.,Les bots ont identifié un bel endroit pour atterrir et démarrer notre colonie.,बॉट्स ने हमारी कॉलोनी को शुरू करने और शुरू करने के लिए एक अच्छी जगह की पहचान की है।,I robot hanno identificato un bel posto per atterrare e iniziare la nostra colonia.,ボットは、私たちの植民地を着陸させて始めるのに最適な場所を特定しました。,봇은 착륙하고 식민지를 시작하기에 좋은 곳을 확인했습니다.,Boty zidentyfikowały miłe miejsce do lądowania i założyć naszą kolonię.,Os bots identificaram um bom lugar para pousar e começar nossa colônia.,"Боты определили хорошее место, чтобы приземлиться и начать нашу колонию.",Боти визначили приємне місце для висадки та починають нашу колонію.
DIALOG053,Congratulations and good luck on the next part of your adventure.,Congratulations and good luck on the next part of your adventure. eh?,تهانينا ونتمنى لك التوفيق في الجزء التالي من مغامرتك.,恭喜您冒险的下一部分祝您好运。,Gratulujeme a hodně štěstí k další části vašeho dobrodružství.,Herzlichen Glückwunsch und viel Glück zum nächsten Teil Ihres Abenteuers.,Felicitaciones y buena suerte en la próxima parte de tu aventura.,Onnittelut ja onnea seikkailun seuraavasta osasta.,Félicitations et bonne chance pour la prochaine partie de votre aventure.,अपने साहसिक कार्य के अगले भाग में बधाई और शुभकामनाएँ।,Congratulazioni e buona fortuna per la prossima parte della tua avventura.,あなたの冒険の次の部分におめでとうと幸運を祈ります。,모험의 다음 부분을 축하하고 행운을 빕니다.,Gratulacje i powodzenia następnej części Twojej przygody.,Parabéns e boa sorte pela próxima parte da sua aventura.,Поздравляем и удачи в следующей части вашего приключения.,Вітаємо та удачі з наступною частиною вашої пригоди.
DOOURBEST,We'll do our best,We'll do our best eh?,ونحن سوف نبذل قصارى جهدنا,我们会尽力而为,Uděláme maximum,Wir werden unser Bestes tun,Haremos lo mejor,Teemme parhaamme,Nous ferons de notre mieux,हम भरसक प्रयास करेंगे,Faremo del nostro meglio,私たちは最善を尽くします,우리는 최선을 다할 것입니다,"Zrobimy wszystko, co w naszej mocy",Faremos o nosso melhor,Мы сделаем все возможное,Ми зробимо все можливе
EARTH,Earth,Earth eh?,أرض,地球,Země,Erde,Tierra,Maa,Terre,धरती,Terra,地球,지구,Ziemia,Terra,Земля,Земля
ENERGY,Energy,Energy eh?,طاقة,活力,Energie,Energie,Energía,Energia,Énergie,ऊर्जा,Energia,エネルギー,에너지,Energia,Energia,Энергия,Енергія
ENERGYCAPACITY,Energy Capacity,Energy Capacity eh?,قدرة الطاقة,能源容量,Energetická kapacita,Energiekapazität,Capacidad energética,Energiakapasiteetti,Capacité énergétique,ऊर्जा क्षमता,Capacità energetica,エネルギー容量,에너지 용량,Pojemność energetyczna,Capacidade de energia,Энергетическая способность,Енергетична потужність
EUROPA,Europa,Europa eh?,أوروبا,欧罗巴,Evropa,Europa,Europa,Europa,Europa,यूरोपा,Europa,ヨーロッパ,유로파,Europa,Europa,Европа,Європа
EXIT,Exit game,Exit game eh?,الخروج من اللعبة,退出游戏,Výstupní hra,Spiel verlassen,Salir del juego,Poistumispeli,Quitter le jeu,खेल से बाहर जाएं,Gioco di uscita,ゲームを終了します,나가 게임,Wyjdź z gry,Sair do jogo,Выходная игра,Гра виходу
FAREWELLMOON,Farewell Moon,Farewell Moon eh?,وداع القمر,告别月亮,Sbohem Měsíc,Abschiedsmond,Luna despedida,Jäähyväiset,Lune d'adieu,विदाई चाँद,AREWELL MOON,別れの月,작별 문,Pożegnanie księżyca,Lua de despedida,Прощальная луна,Прощальний місяць
FISH,Fish,Fish eh?,سمكة,鱼,Ryba,Fisch,Pez,Kalastaa,Poisson,मछली,Pescare,魚,물고기,Ryba,Peixe,Рыба,Риба
FISHERY,Fishery,Fishery eh?,مصايد الأسماك,渔业,Rybolov,Fischerei,Pesquería,Kalastus,Pêcherie,मछली पकड़ना,Pesca,漁業,어업,Rybołówstwo,Pesca,Промысел,Рибальство
FONT,Font,Font eh?,الخط,字体,Písmo,Schriftart,Fuente,Fontti,Police de caractère,फ़ॉन्ट,Font,フォント,폰트,Czcionka,Fonte,Шрифт,Шрифт
FOOD,Food,Food eh?,طعام,食物,Jídlo,Essen,Alimento,Ruoka,Nourriture,खाना,Cibo,食べ物,음식,Żywność,Comida,Еда,Їжа
FORCEDEPART,Leave Now,Leave Now eh?,ارحل الآن,现在离开,Ihned odejdi,Verlasse jetzt,Salir ahora,Lähde nyt,Pars maintenant,अब छोड़ दें,Vattene ora,今すぐ出発します,지금 떠나,Wyjdź,Saia agora,Уходи,Піти зараз
FUEL,Fuel,Fuel eh?,وقود,燃料,Palivo,Kraftstoff,Combustible,Polttoaine,Carburant,ईंधन,Carburante,燃料,연료,Paliwo,Combustível,Топливо,Паливо
FUSIONGENERATOR,Fusion generator,Fusion generator eh?,مولد الانصهار,融合发生器,Fusion Generator,Fusionsgenerator,Generador de fusión,Fuusiogeneraattori,Générateur de fusion,संलयन जनरेटर,Generatore di fusione,融合ジェネレーター,퓨전 생성기,Generator fuzji,Gerador de fusão,Генератор слияния,Генератор синтезу
GEETHANKS,"Gee, thanks","Gee, thanks eh?",جي ، شكرا,哎呀，谢谢,"Gee, díky",Alter! Danke,"Gee, gracias","Gee, kiitos",Hé Merci,बहुत धन्यवाद,"Wow, grazie",ねえ、ありがとう,고마워요,Ojej dzięki,"Caramba, valeu","Ну и дела, спасибо","Гей, дякую"
GENERAL,General,General eh?,عام,一般的,Všeobecné,Allgemein,General,Yleinen,Général,सामान्य,Generale,一般的な,일반적인,Ogólny,Em geral,Общий,Загальний
GENERATORS,Generators,Generators eh?,مولدات كهرباء,发电机,Generátory,Generatoren,Generadores,Generaattorit,Générateurs,जेनरेटर,Generatori,ジェネレーター,발전기,Generatory,Geradores,Генераторы,Генератори
GRAPHICS,Graphics,Graphics eh?,الرسومات,图形,Grafika,Grafik,Gráficos,Grafiikka,Graphique,GRAPHICS,Grafica,グラフィックス,제도법,Grafika,Gráficos,Графика,Графіка
GREATTHANKS,"Great, thanks!","Great, thanks! eh?",عظيم ، شكرا!,万分感谢！,Velký dík!,Vielen Dank!,¡Muchas gracias!,Suuret kiitokset!,Grand merci!,बहुत बहुत शुक्रिया!,Grazie mille!,まことにありがとうございます！,"좋아요, 감사합니다!",Wielkie dzięki!,"Ótimo, obrigado!",Большое спасибо!,Щиро дякую!
HUMANS,Humans,Humans eh?,البشر,人类,Lidé,Menschen,Humanos,Ihmiset,Humains,इंसानों,Umani,人間,인간,Ludzie,Humanos,Люди,Люди
HYDROPONICS,Hydroponics,Hydroponics eh?,الزراعة المائية,水培法,Hydroponie,Hydroponik,Hidroponia,Vesiviljely,Hydroponique,हीड्रोपोनिक्स,Idroponico,水耕栽培,수경법,Hydroponika,Hidroponia,Гидропоника,Гідропоніка
KEEPWARM,Keep Warm,Keep Warm eh?,ابق دافىء,保持温暖,Udržet v teple,Warm halten,Mantener caliente,Pysyä lämpimänä,Garder au chaud,सुरक्षित रखना,Tenere caldo,暖かくしてください,따뜻한 상태를 유지해,Wstępuj,Continue quente,Согреться,Тримати теплим
KUIPERBELT,Kuiper Belt,Kuiper Belt eh?,حزام كويبر,Kuiper带,Kuiper pás,Kuiper Gürtel,cinturón de Kuiper,Kuiperin vyö,Ceinture de kuiper,क्विपर पट्टी,fascia di Kuiper,カイパーベルト,Kuiper 벨트,Pas Kuiper,Cinturão Kuiper,Kuiper left,Куйперський пояс
LETMECHEAT,"Let me cheat, I mean debug.","Let me cheat, I mean debug. eh?",اسمحوا لي أن أغش ، أعني التصحيح.,让我作弊，我的意思是调试。,"Dovolte mi podvádět, myslím ladění.","Lass mich betrügen, ich meine Debugg.","Déjame hacer trampa, me refiero a la depuración.","Anna minun huijata, tarkoitan virheenkorjausta.","Permettez-moi de tricher, je veux dire le débogage.","मुझे धोखा देने दो, मेरा मतलब है डिबग।","Lasciami imbrogliare, intendo il debug.",チートしましょう、私はデバッグを意味します。,"속임수를 보자, 디버그를 의미합니다.","Pozwól mi oszukiwać, mam na myśli debugowanie.","Deixe -me trapacear, quero dizer depuração.","Позвольте мне обмануть, я имею в виду отладка.","Дозвольте обдурити, я маю на увазі налагодження."
LEVEL,Level,Level eh?,مستوى,等级,Úroveň,Ebene,Nivel,Taso,Niveau,स्तर,Livello,レベル,수준,Poziom,Nível,Уровень,Рівень
LIVELONGANDPROSPER,Live Long and Prosper,Live Long and Prosper eh?,عش لفترة طويلة وازدهار,健康长寿·繁荣昌盛,Žít dlouho a prosperovat,Lange leben und gedeihen,Vivir mucho tiempo y prosperar,Elä pitkään ja menesty,Vivre longtemps et prospérer,आपकी उम्र लंबी हो और आप समृद्ध बने,Vivi a lungo ed in prosperità,長く生きると繁栄,장수와 번영,Żyj długo i szczęśliwie,Vida longa e próspera,Живи долго и процветай,Жити довго і процвітати
LOCALE,Locale,Locale eh?,لغة,语言环境,Národní prostředí,Gebietsschema,Lugar,Paikallinen,Lieu,स्थान,Locale,ロケール,장소,Widownia,Localidade,Локаль,Місцевий
LOCALE_AR,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي,عربي
LOCALE_CMN,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国,普通话中国
LOCALE_CS,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština,Čeština
LOCALE_DE,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
LOCALE_EN,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English
LOCALE_EN_CA,English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian),English (Canadian)
LOCALE_ES,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
LOCALE_FI,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen,Suomalainen
LOCALE_FR,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
LOCALE_HI,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी,हिंदी
LOCALE_IT,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
LOCALE_JA,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
LOCALE_KO,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인,한국인
LOCALE_PL,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski,Polski
LOCALE_PT,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português
LOCALE_RU,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
LOCALE_UK,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український,Український
LOCALECURRENT,Current locale,Current locale eh?,اللغة الحالية,当前语言环境,Aktuální národní prostředí,Aktuelles Gebietsschema,Localidad actual,Nykyinen sijainti,Lieu actuel,वर्तमान स्थान,Locale locale,現在のロケール,현재 로케일,Obecny region,Local atual,Текущий локаль,Поточний локал
LOCALESET,Set your preferred language.,Set your preferred language. eh?,اضبط لغتك المفضلة.,设置您喜欢的语言。,Nastavte svůj preferovaný jazyk.,Stellen Sie Ihre bevorzugte Sprache ein.,Establezca su idioma preferido.,Aseta haluamasi kielesi.,Définissez votre langue préférée.,अपनी पसंदीदा भाषा सेट करें।,Imposta la tua lingua preferita.,お好みの言語を設定します。,선호하는 언어를 설정하십시오.,Ustaw swój preferowany język.,Defina seu idioma preferido.,Установите предпочитаемый язык.,Встановіть свою бажану мову.
LOSSDIALOG01,Game Over,Game Over eh?,انتهت اللعبة,游戏结束,Konec hry,Spiel vorbei,Juego terminado,Peli ohi,Jeu terminé,खेल खत्म,Game Over,ゲームオーバー,게임 끝,Koniec gry,Game Over,Игра закончена,Гра завершена
LOSSTITLE,"Good game, but it's over","Good game, but it's over eh?",لعبة جيدة ، لكنها انتهت,好游戏，但结束了,"Dobrá hra, ale je po všem","Gutes Spiel, aber es ist vorbei","Buen juego, pero ha terminado","Hyvä peli, mutta se on ohi","Bon jeu, mais c'est fini","अच्छा खेल, लेकिन यह खत्म हो गया है","Buon gioco, ma è finita",良いゲームですが、それは終わりました,좋은 게임이지만 끝났습니다,"Dobra gra, ale to koniec","Bom jogo, mas acabou","Хорошая игра, но все кончено","Хороша гра, але вона закінчилася"
MAINMENU,Main Menu,Main Menu eh?,القائمة الرئيسية,主菜单,Hlavní menu,Hauptmenü,Menú principal,Päävalikko,Menu principal,मुख्य मेन्यू,Menu principale,メインメニュー,메인 메뉴,Menu główne,Menu principal,Главное меню,Головне меню
MARS,Mars,Mars eh?,المريخ,火星,Mars,Mars,Marte,Mars,Mars,मंगल ग्रह,Marte,火星,화성,Mars,Marte,Марс,Марс
MESSAGES,Messages,Messages eh?,رسائل,消息,Zprávy,Mitteilungen,Mensajes,Viestit,messages,संदेशों,Messaggi,メッセージ,메시지,Wiadomości,Mensagens,Сообщения,Повідомлення
MONEY,Money,Money eh?,مال,钱,Peníze,Geld,Dinero,Raha,Argent,धन,Soldi,お金,돈,Pieniądze,Dinheiro,Деньги,Гроші
MOON,Moon,Moon eh?,قمر,月亮,Měsíc,Mond,Luna,Kuu,Lune,चंद्रमा,Luna,月,달,Księżyc,Lua,Луна,Місяць
MUSIC,Music,Music eh?,موسيقى,音乐,Hudba,Musik,Música,Musiikki,Musique,संगीत,Musica,音楽,음악,Muzyka,Música,Музыка,Музика
MUTE,Mute,Mute eh?,صامت,沉默的,Ztlumit,Stumm,Silenciar,Mykistää,Muet,आवाज़ बंद करना,Muto,ミュート,무음,Niemy,Mudo,Немой,Приглушений
NEATTHANKS,"Neat, thanks","Neat, thanks eh?",أنيق ، شكرا,整洁，谢谢,"Elegantní, díky","Ordentlich, danke","Ordenado, gracias","Siisti, kiitos","Soigné, merci","स्वच्छ, धन्यवाद","Pulito, grazie",きちんと、ありがとう,깔끔합니다. 감사합니다,"Schludny, dzięki","Legal, obrigado","Аккуратно, спасибо","Акуратно, дякую"
NOTTSVOICE,No TTS voices available,No TTS voices available eh?,لا توجد أصوات TTS متوفرة,没有TTS声音可用,K dispozici nejsou žádné hlasy TTS,Keine TTS -Stimmen verfügbar,No hay voces TTS disponibles,TTS -ääniä ei ole käytettävissä,Aucune voix TTS disponible,कोई टीटीएस आवाज़ उपलब्ध नहीं है,Nessuna voce TTS disponibile,TTSの声はありません,TTS 목소리를 사용할 수 없습니다,Brak dostępnych głosów TTS,Nenhuma voz TTS disponível,Нет голосов TTS,Немає голосів TTS
OK,OK,OK eh?,نعم,好的,OK,OK,DE ACUERDO,Hyvä,D'ACCORD,ठीक है,OK,わかりました,좋아요,OK,OK,ХОРОШО,в порядку
OPTIONS,Options,Options eh?,خيارات,选项,Možnosti,Optionen,Opción,Vaihtoehdot,Options,विकल्प,Opzioni,オプション,옵션,Opcje,Opções,Параметры,Варіанти
OXYGENDONTGROW,Oxygen don't grown on trees you know,,,,,,,,,,,,,,,,
OXYGENGENERATOR,Oxygen generator,Oxygen generator eh?,مولد الأكسجين,氧气发生器,Generátor kyslíku,Sauerstoffgenerator,Generador de oxígeno,Happigeneraattori,Générateur d'oxygène,ऑक्सीजन जनरेटर,Generatore di ossigeno,酸素ジェネレーター,산소 생성기,Generator tlenu,Gerador de oxigênio,Кислород генератор,Кисневий генератор
PAUSE,Pause,Pause eh?,يوقف,暂停,Pauza,Pause,Pausa,Tauko,Pause,विराम,Pausa,一時停止,정지시키다,Pauza,Pausa,Пауза,Пауза
PERSECOND,Per second,Per second eh?,في الثانية,每秒,Za sekundu,Pro Sekunde,Por segundo,Sekunnissa,Par seconde,प्रति सेकंड,Al secondo,毎秒,초당,Na sekundę,Por segundo,В секунду,За секунду
PICKLOCALEFROMLIST,Choose language from list,Choose language from list eh?,اختر اللغة من القائمة,从列表中选择语言,Vyberte jazyk ze seznamu,Wählen Sie Sprache aus der Liste,Elija el idioma de la lista,Valitse kieli luettelosta,Choisissez la langue dans la liste,सूची से भाषा चुनें,Scegli la lingua dall'elenco,リストから言語を選択します,목록에서 언어를 선택하십시오,Wybierz język z listy,Escolha o idioma da lista,Выберите язык из списка,Виберіть мову зі списку
PLANTS,Plants,Plants eh?,النباتات,植物,Rostliny,Pflanzen,Plantas,Kasvit,Plantes,पौधे,Impianti,植物,식물,Rośliny,Plantas,Растения,Рослини
QUIET,Quiet,Quiet eh?,هادئ,安静的,Klid,Ruhig,Tranquilo,Hiljainen,Calme,शांत,Tranquillo,静かな,조용한,Cichy,Quieto,Тихий,Спокійно
RANOUTOF,Ran out of:,Ran out of: eh?,اخرج من:,没有了：,Došel:,Ausging:,Quedarse sin:,Loppua:,A manqué de:,से बाहर भाग गया:,A corto di:,を使い果たしました：,떨어졌다:,Kończyć się:,Ficou sem:,Закончилось:,Закінчився:
RATES,Rates,Rates eh?,معدلات,费率,Sazby,Preise,Tarifa,Hinnat,Les taux,दरें,Aliquote,料金,요율,Stawki,Cotações,Ставки,Тарифи
READTTS,Read with TTS,Read with TTS eh?,اقرأ مع TTS,用TTS阅读,Přečtěte si s TTS,Lesen Sie mit TTS,Leer con TTS,Lue TTS: llä,Lire avec TTS,टीटीएस के साथ पढ़ें,Leggi con TTS,TTSで読む,TTS로 읽으십시오,Czytaj z TTS,Leia com TTS,Читайте с TTS,Читайте з TTS
REPAIR,Repair,Repair eh?,بصلح,维修,Opravit,Reparatur,Reparar,Korjaus,Réparation,मरम्मत,Riparazione,修理,수리하다,Naprawa,Reparar,Ремонт,Ремонт
RESOURCES,Resources,Resources eh?,موارد,资源,Zdroje,Ressourcen,Recursos,Resurssit,Ressources,संसाधन,Risorse,リソース,자원,Zasoby,Recursos,Ресурсы,Ресурси
RESOURCESGRAPHICAL,Resources,Resources eh?,موارد,资源,Zdroje,Ressourcen,Recursos,Resurssit,Ressources,संसाधन,Risorse,リソース,자원,Zasoby,Recursos,Ресурсы,Ресурси
RESOURCESTEXT,Resource Details,Resource Details eh?,تفاصيل الموارد,资源细节,Podrobnosti o zdroji,Ressourcendetails,Detalles de recursos,Resurssitiedot,Détails des ressources,संसाधन विवरण,Dettagli delle risorse,リソースの詳細,리소스 세부 사항,Szczegóły zasobów,Detalhes dos recursos,Детали ресурса,Деталі ресурсу
SCALE,Scale,Scale eh?,حجم,规模,Měřítko,Skala,Escala,Asteikko,Échelle,पैमाना,Scala,規模,규모,Skala,Escala,Шкала,Масштаб
SCIENCE,Science,Science eh?,علوم,科学,Věda,Wissenschaft,Ciencia,Tiede,Science,विज्ञान,Scienza,科学,과학,Nauka,Ciência,Наука,Наука
SFX,Sound Effects,Sound Effects eh?,مؤثرات صوتية,声音特效,Zvukové efekty,Soundeffekte,Efectos de sonido,Ääniefektit,Effets sonores,ध्वनि प्रभाव,Effetti sonori,音響効果,음향 효과,Efekty dźwiękowe,Efeitos sonoros,Звуковые эффекты,Звукові ефекти
